,0
0,Ot.air-condition.mac.incor.refr.val.f/rever.<=30000 c/h
1,Oth.air-condit.mach.incor.refr.val.f/rever.heat cycle
2,Oth.air-condition.mach.incorp.refrig.unit c<=30000 c/h
3,Oth.air-condition.mach.incorporat.refrigerating unit
4,Oth.air-condition.mach.n/incorp.refrigerating unit
5,Parts of air-conditioning machines
6,Other optical instruments and apparatus
7,Laser instr.and appar.f/measur.dim.param.cellul.fibres
8,Laser instr.and appar.f/measur.thickn.motor vehic.tyres
9,Other optical instruments and apparatus
10,Dynamometers
11,Surface-finish testing instruments
12,Machines for taking three-dimensional measurements
13,Standard metres
14,Digital appar.used in motor vehicles (onboard computer)
15,"Appar.f/analyzes of textile,contr.autom.data proces.mac"
16,Load cells
17,"Other roundabouts,swings and oth.amusements"
18,Worked ivory and articles of ivory
19,"Oth.animal carving mater.,articles incl.art.obt.b/mould"
20,"Gelatin capsules,edible"
21,Artificial honeycombs
22,"Ot.worked vegetable/mineral carving,artic.of these mat"
23,"Brooms and brushes,of vegetable material bound together"
24,"Toothbrushes,including brushes for dentures"
25,"Brushes of beard,brushes f/hair,eyelashes,etc"
26,"Artists' brushes,f/cosmetics products,etc."
27,Rollers for paint
28,"Paint,distemper,varnish or similar brushes,pain pads"
29,Oth.brushes constituting parts of mach.applian/vehicles
30,"Oth.brooms,brushes,dusters,rakes,etc"
31,Hand sieves and hand riddles
32,"Travel sets,f/personal toilet,f/sewing/clothes cleaning"
33,"Button,press-fast.snap-fast.press-studs and parts ther."
34,"Buttons of plastics,n/covered with textile material"
35,"Buttons of base metal,n/covered with textile material"
36,Other buttons
37,"Oth.instruments,applian.and mach.of measured/checking"
38,"Instr.applian.and mach.f/checking pneum.tyres,load cond"
39,Oth.instr.applian.and mach.of measuring/checking
40,Parts and accessories f/test benches
41,Parts and acces.f/oth.instr.appl.and mach.meas./check.
42,"Automatic thermostats,expansion of fluids"
43,Other automatic thermostats
44,Automatic manostats
45,Automatic hydraulic/pneumatic instruments and appar.
46,"Automatic electronic regulators,of voltage"
47,"Other automatic electronic regulators,of voltage"
48,Autom.electronic controllers f/anti-lock braking syst.
49,Autom.electronic controllers f/suspension systems
50,Autom.electronic controllers f/transmission systems
51,Autom.electronic controllers f/ignition systems
52,Autom.electronic controllers f/injection systems
53,Other autom.electronic controllers f/motor vehicles
54,Automatic digital equipment f/checking railway vehicles
55,Button moulds and ot.parts of buttons and button blanks
56,Slide fasteners with staples of base metal
57,Other slide fasteners
58,Parts of slide fasteners
59,Ballpoint pens
60,Felt tipped/porous-tipped pens and markers
61,Fountain pens and other pens
62,Indian ink drawing pens
63,Other fountain pens
64,Propelling or sliding pencils
65,Assortments of pens with propelling or sliding pencils
66,"Refills f/ball point pens,compr.ball point ink-reserv."
67,"Pen nibs and nib points, for fountain pens"
68,Porous-tipped pens and markers
69,"Other parts of pens,propelling or sliding pencils,etc."
70,"Duplicating stylos,pencil-holders and similar articles"
71,Pencils
72,Crayons for pencil/mechanical pencils
73,"Pastels,draw.charc.writing/drawing chalks and tailors'"
74,"Slates and boards,with writing/drawing surf.incl.framed"
75,"Date,sealing,numbering stamps,signets and the like"
76,Automatic instruments and apparatus f/checking pressure
77,Autom.instruments and apparatus f/checking temperature
78,Autom.instruments and apparatus f/checking humidity
79,Autom.instruments and apparatus f/checking speed motors
80,Oth.autom.instrum.and apparatus f/great.checking n/elec
81,"Complete watch, unassembled,w ristwatches,pocket,etc"
82,"Complete watch unassembled,f/oth.watch movements"
83,Incomplete movements assemb.f/watch movements appar.
84,"Rough movements,f/watch movements apparatus"
85,Complete watch unassembled f/watch movements appar.
86,"Cases f/wristwatches/pocket,of precious metal,etc."
87,"Cases f/wristwatches/pocket,alloy copp.and zinc,sketch"
88,"Cases f/wristwatches/pocket,of other base metal"
89,"Cases f/wristwatches/pocket,of other material"
90,Safety fuses
91,Detonating twine
92,Fulminants
93,Flashing Capsules
94,Fuses
95,Electric detonators
96,Other meat of chickens and hens
97,Anonyas and others fruits of genero Annona
98,Other fresh fruits
99,"Pitaias (Hylocereus spp., Selenicereus undatus)"
100,Rutile pigments
101,Other articles and prostheses apparatus
102,Parts of prostheses modul.subst.infer.super.members
103,Parts and access.of oth.articles and prostheses appar.
104,"Prostheses articulate,femoral"
105,"Prostheses articulate,myoelectric"
106,Other artificial parts of the body
107,Mechanical heart valves
108,Other heart valves
109,Intra-ocular lenses
110,Coated artificial vascular arteries
111,Non-implantable artificial breasts
112,Other artificial parts of the body appliances
113,Parts for the upper or lower artificial limbs
114,Other parts/access.of artif.parts of the body apliances
115,"Hearing aids,excluding parts and accessories"
116,"Pacemakers f/stimulating heart muscles,excl.parts/acces"
117,Automatic cardiac defibrillators
118,Oth.appar.implant.organism f/compens.defect/incapacity
119,Oth.apparatus f/compensating deficiencies/illnesses
120,"Stainless steel stents,for dilating arteries"
121,"Bottoms f/wristwatches/pocket,of base metal"
122,Other parts f/wristwatches/pocket cases
123,"Cases and similar for watch apparatus,of metal"
124,Cases and similar of watch apparatus
125,"Cases and similar f/watch apparatus,of other material"
126,Parts f/cases and similar f/watch apparatus
127,"Bracelets f/watches,of prec.metal,veneer,etc"
128,"Bracelets for watches, of base metal"
129,"Bracelets f/watches,of oth.material and parts thereof"
130,"Springs f/watch apparatus,incl.hair-springs"
131,Jewels for watch apparatus
132,Dials for watch apparatus
133,Plates and bridges for watch apparatus
134,Crowns for watch apparatus
135,Hands for watch apparatus
136,Stems for watch apparatus
137,Yokes for watch apparatus
138,Balance staffs and pinions f/watch apparatus
139,Wheels fpr watch apparatus
140,Rotors for watch apparatus
141,Other parts and access.f/watch apparatus
142,Carambolas (Averrhoa carambola)
143,Jacas (Artocarpus heterophyllus)
144,Lechias (Litchi chinensis)
145,Maracujás (Passiflora edulis)
146,Tamarindos (Tamarindus indica)
147,Purês de cupuaçu (Theobroma grandiflorum)
148,Purês de mamão (papaia) (Carica papaya L.)
149,"Água de coco (Cocos nucifera) com valor Brix não superior a 7,4"
