,source_1,source_2
0,11198,8946
1,11199,42547
2,11200,32546
3,11209,21116
4,11219,11728
5,11236,19644
6,11237,42288
7,11258,42162
8,11261,28810
9,11265,42507
10,11266,21457
11,11284,3777
12,11285,30362
13,11287,19280
14,11289,7471
15,12425,7342
16,11299,31331
17,11301,28765
18,11304,18687
19,11305,911
20,11705,16798
21,11325,9167
22,11330,41857
23,11331,39861
24,11332,16495
25,11333,37941
26,11334,16358
27,11335,42617
28,11337,16519
29,11356,38597
30,11357,40152
31,11372,9151
32,11375,405
33,11392,24775
34,11427,5706
35,11428,8685
36,11432,9229
37,11439,39334
38,11454,11668
39,11489,11600
40,11492,41883
41,11512,8339
42,11523,36550
43,11531,34921
44,11550,39807
45,11555,42499
46,11568,2725
47,11592,39717
48,11605,9008
49,11615,1782
50,11661,39242
51,11688,16924
52,11694,10666
53,11698,990
54,11700,42488
55,11706,36409
56,11709,5221
57,11714,7771
58,11744,17656
59,11742,5386
60,11744,39818
61,11746,42632
62,11758,3481
63,11769,22428
64,11785,42640
65,11802,42158
66,11826,8574
67,11827,6969
68,11829,17380
69,11831,7550
70,11909,4198
71,11910,4199
72,11911,41073
73,11917,2691
74,11918,4660
75,11920,12607
76,11921,42284
77,11937,11651
78,11973,24846
79,11981,40559
80,11991,20106
81,11995,8397
82,11999,42414
83,12014,33961
84,12041,4663
85,12087,8717
86,12098,21045
87,12128,4688
88,12129,30164
89,12130,37661
90,12141,39826
91,12183,36565
92,12188,7013
93,12191,11477
94,12237,11769
95,12260,20782
96,12291,1710
97,12364,38
98,12365,10177
99,12366,19678
100,12367,7027
101,12369,6151
102,12376,37238
103,12377,41103
104,12467,7398
105,12470,18737
106,12474,37147
107,12475,6944
108,12480,1362
109,12491,6956
110,12554,12229
111,12560,15933
112,12582,2346
113,12625,3651
114,12677,42315
115,12704,36354
116,12734,6567
117,12740,19628
118,12751,11265
119,12765,9024
120,12796,2032
121,12847,28666
122,12880,37319
123,12960,12169
124,12964,16922
125,12994,36076
126,13001,1767
127,13002,2278
128,13009,36523
